token_address_raw,token_name,long_name
\x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,Wrapped BTC
\x43b4fdfd4ff969587185cdb6f0bd875c5fc83f8c,alUSD3CRV-f,Curve.fi Factory USD Metapool: Alchemix USD
\x5a6a4d54456819380173272a5e8e9b9904bdf41b,MIM-3LP3CRV-f,Curve.fi Factory USD Metapool: Magic Internet Money 3Pool
\xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,USD Coin
\xed279fdd11ca84beef15af5d39bb4d4bee23f0ca,LUSD3CRV-f,Curve.fi Factory USD Metapool: Liquity
\xa13a9247ea42d743238089903570127dda72fe44,bb-a-USD,Balancer Aave Boosted StablePool
\x6b175474e89094c44da98b954eedeac495271d0f,DAI,Dai Stablecoin
\xca3d75ac011bf5ad07a98d02f18225f9bd9a6bdf,crvTricrypto,Curve.fi USD-BTC-ETH
\xc4ad29ba4b3c580e6d59105fff484999997675ff,crv3crypto,Curve.fi USD-BTC-ETH
\x06325440d014e39736583c165c2963ba99faf14e,steCRV,Curve.fi ETH/stETH
\x194ebd173f6cdace046c53eacce9b953f28411d1,eursCRV,Curve.fi EURS/sEUR
\x9cf2ab51ac93711ec2fa32ec861349568a16c729,ePyvcrv3crypto-12NOV21,Element Principal Token yvcrv3crypto-12NOV21
\x285328906d0d33cb757c1e471f5e2176683247c2,ePyvcrv3crypto-29APR22,Element Principal Token yvcrv3crypto-29APR22
\x2361102893ccabfb543bc55ac4cc8d6d0824a67e,ePyvcrvSTETH-15APR22,Element Principal Token yvcrvSTETH-15APR22
\x26941c63f4587796abe199348ecd3d7c44f9ae0c,ePyvcrvSTETH-15OCT21,Element Principal Token yvcrvSTETH-15OCT21
\x720465a4ae6547348056885060eeb51f9cadb571,ePyvcrvSTETH-28JAN22,Element Principal Token yvcrvSTETH-28JAN22
\x237535da7e2f0aba1b68262abcf7c4e60b42600c,ePyvCrvTriCrypto-15AUG21,Element Principal Token yvCrvTriCrypto-15AUG21
\x097f9f108ee0db2cb266aa16ccfb4831ec4d770b,ePyvCurve-3Crypto-16SEP22,Element Principal Token yvCurve-3Crypto-16SEP22
\xc9b88361c09ec184bdd32cf52cffc79a1452f79d,ePyvCurve-alUSD-16SEP22,Element Principal Token yvCurve-alUSD-16SEP22
\x55096a35bf827919b3bb0a5e6b5e2af8095f3d4d,ePyvCurve-alUSD-28JAN22,Element Principal Token yvCurve-alUSD-28JAN22
\xeaa1cba8cc3cf01a92e9e853e90277b5b8a23e07,ePyvCurve-alUSD-29APR22,Element Principal Token yvCurve-alUSD-29APR22
\x2a8f5649de50462ff9699ccc75a2fb0b53447503,ePyvCurve-EURS-11FEB22,Element Principal Token yvCurve-EURS-11FEB22
\x83d392a7be901892a8c861c96ea430b8d9c2bd51,ePyvCurve-LUSD-16SEP22,Element Principal Token yvCurve-LUSD-16SEP22
\x418de6227499181b045cadf554030722e460881a,ePyvCurve-MIM-11FEB22,Element Principal Token yvCurve-MIM-11FEB22
\xc63958d9d01efa6b8266b1df3862c6323cbdb52b,ePyvCurve-MIM-29APR22,Element Principal Token yvCurve-MIM-29APR22
\x21fb757c2d3a5c574e8721027c3d7a506d77b6b3,ePyvCurve-stETH-16SEP22,Element Principal Token yvCurve-stETH-16SEP22
